flexeme_id,inflection_class,lila_id_lemma,hasInflectionType
a0010_1,0,86835,v1r
a0015_2,1,86840,v1r
a0015_3,1,86840,v1r
a0015_4,2,86840,v1r
a0018_5,0,86843,v1r
a0021_6,0,86847,v2r
a0021_7,0,86847,v2r
a0022_8,3,86848,v3r
a0027_9,0,86853,v1r
a0030_10,1,86856,v1r
a0030_11,1,86856,v1r
a0034_12,1,86860,v1r
a0035_13,4,86861,v3r
a0038_14,5,86865,v3r
a0038_15,0,86864,v1r
a0038_16,,86865,v3r
a0040_17,3,86867,v3r
a0040_18,4,86867,v3r
a0042_19,3,86872,v3r
a0043_20,7,86873,v6r
a0043_21,8,86873,v6r
a0043_22,9,86873,v6r
a0044_23,1,86874,v1r
a0046_24,1,86876,v1r
a0047_25,0,86877,v1r
a0048_26,0,86878,v2r
a0050_27,10,86880,v2r
a0050_sc_28,11,86881,v3r
a0052_29,12,86883,v1d
a0053_30,13,86884,v5r
a0061_31,0,86893,v1r
a0063_32,14,86895,v3r
a0063_33,15,86895,v3r
a0066_34,3,86898,v3r
a0066_35,3,86898,v3r
a0066_36,3,86898,v3r
a0067_37,1,86899,v1r
a0068_38,0,86900,v1r
a0069_39,16,86901,v3r
a0072_40,1,86904,v1r
a0073_41,1,86905,v1r
a0075_42,1,86907,v1r
a0077_43,1,86909,v1r
a0077_44,1,86909,v1r
a0083_45,1,86916,v1r
a0085_46,0,86918,v1r
a0086_47,17,86919,v4r
a0086_48,18,86919,v4r
a0086_49,17,86919,v4r
a0086_50,18,86919,v4r
a0089_51,3,86922,v3r
a0090_52,1,86923,v1r
a0091_53,3,86924,v3r
a0097_54,0,86930,v1r
a0101_55,1,86934,v1r
a0101_56,1,86934,v1r
a0104_57,0,86937,v1r
a0105_58,19,86939,v3r
a0105_59,20,86938,v1r
a0110_60,0,86944,v1r
a0111_61,21,86946,v3r
a0111_62,22,86945,v2r
a0113_63,0,86948,v1r
a0114_64,23,86949,v5r
a0116_65,24,86951,v2r
a0116_66,25,86951,v2r
a0116_67,26,86951,v2r
a0122_68,1,86958,v1r
a0125_69,27,86961,v4d
a0125_70,,86961,v4d
a0127_71,17,86963,v4r
a0127_72,18,86963,v4r
a0130_73,0,86968,v1r
a0133_74,28,86971,v3r
a0136_75,29,86974,v1r
a0139_76,0,86977,v1r
a0140_77,30,86978,v5r
a0141_78,28,86979,v3r
a0143_79,1,86981,v1r
a0144_80,31,86982,v6r
a0145_81,32,86983,v3r
a0147_82,33,86985,v3r
a0147_83,33,86985,v3r
a0149_84,34,86987,v3r
a0149_85,34,86987,v3r
a0150_86,35,86988,v3r
a0155_87,3,86994,v3r
a0155_88,5,86994,v3r
a0155_89,36,86994,v3r
a0155_90,34,86994,v3r
a0155_91,3,86994,v3r
a0155_92,5,86994,v3r
a0155_93,36,86994,v3r
a0155_94,34,86994,v3r
a0162_95,0,87001,v1r
a0164_96,0,87003,v1r
a0165_97,37,87004,v4r
a0169_98,38,87008,v3r
a0172_99,0,87011,v2r
a0178_100,39,87018,v3r
a0178_101,39,87018,v3r
a0179_102,40,87019,v1r
a0179_103,40,87019,v1r
a0181_104,41,87021,v2r
a0181_105,10,87021,v2r
a0181_106,41,87021,v2r
a0181_107,10,87021,v2r
a0181_108,42,87021,v2r
a0181_109,42,87021,v2r
a0181_110,,87021,v2r
a0181_111,,87021,v2r
a0187_112,43,87027,v2r
a0187_113,43,87027,v2r
a0188_114,26,87028,v2r
a0188_115,26,87028,v2r
a0191_116,44,87031,v2r
a0191_117,45,87031,v2r
a0191_118,44,87031,v2r
a0191_119,45,87031,v2r
a0192_120,0,87032,v1r
a0192_121,0,87032,v1r
a0193_122,3,87033,v3r
a0195_123,46,87035,v3r
a0195_124,46,87035,v3r
a0196_125,28,87036,v3r
